Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Aeon Engine,C19,,,,,,
acquire,1,Aeon Engine,C19,,,,,,
main,1,"Ashiok, Nightmare Muse",THB,,,,,,
main,1,"Atris, Oracle of Half-Truths",THB,,,,,,True
maybe,1,Avarice Totem,5DN,,,,,,
main,1,Baleful Strix,2XM,,,,,,
acquire,1,Baleful Strix,2XM,,,,,,
main,1,Bane Alley Broker,GTC,,,,,,
acquire,1,Bane Alley Broker,GTC,,,,,,
main,1,Beacon of Unrest,2XM,,,,,,
acquire,1,Beacon of Unrest,2XM,,,,,,
main,1,Behold the Multiverse,KHM,,,,,,
acquire,1,Behold the Multiverse,KHM,,,,,,
main,1,Boneyard Parley,C19,,,,,,
acquire,1,Boneyard Parley,C19,,,,,,
maybe,1,Bottled Cloister,RAV,,,,,,
maybe,1,Brain Pry,DIS,,,,,,
main,1,Brainstorm,2XM,,,,,,
acquire,1,Brainstorm,2XM,,,,,,
maybe,1,Burning-Rune Demon,KHM,,,,,,
maybe,1,Cabal Therapist,MH1,,,,,,
maybe,1,Cabal Therapy,MYS1,,,,,,
maybe,1,Charcoal Diamond,CMR,,,,,,
maybe,1,Chromeshell Crab,C19,,,,,,
maybe,1,Clever Impersonator,C19,,,,,,
maybe,1,Clone Shell,2XM,,,,,,
maybe,1,Command the Dreadhorde,WAR,,,,,,
main,1,Conjured Currency,RTR,,,,,,
acquire,1,Conjured Currency,RTR,,,,,,
main,1,Cosmos Charger,KHM,,,,,,
acquire,1,Cosmos Charger,KHM,,,,,,
maybe,1,Court of Ambition,CMR,,,,,,
maybe,1,Court of Cunning,CMR,,,,,,
maybe,1,Covetous Urge,ELD,,,,,,
maybe,1,Cultural Exchange,ODY,,,,,,
maybe,1,Cunning Evasion,MH1,,,,,,
maybe,1,Daring Thief,JOU,,,,,,
maybe,1,Devious Cover-Up,MID,,,,,,
main,1,Diabolic Tutor,C17,,,,,,
acquire,1,Diabolic Tutor,C17,,,,,,
main,1,Dimir Charm,GK1,,,,,,
acquire,1,Dimir Charm,GK1,,,,,,
main,1,Dimir Signet,ZNC,,,,,,
acquire,1,Dimir Signet,ZNC,,,,,,
maybe,1,Disciple of Deceit,JOU,,,,,,
main,1,Divination,MYS1,,,,,,
maybe,1,Djinn of Infinite Deceits,CM1,,,,,,
main,1,Dream Chisel,ONS,,,,,,
acquire,1,Dream Chisel,ONS,,,,,,
main,1,Dream Devourer,KHM,,,,,,
maybe,1,Dredge the Mire,C20,,,,,,
maybe,1,Drown in the Loch,ELD,,,,,,
maybe,1,Duplicity,TMP,,,,,,
maybe,1,Duress,M21,,,,,,
maybe,1,Duskmantle Seer,C18,,,,,,
main,1,Elixir of Immortality,MYS1,,,,,,
main,1,"Etrata, the Silencer",GK1,,,,,,
main,1,Evil Twin,BBD,,,,,,
acquire,1,Evil Twin,BBD,,,,,,
main,1,Extinction Event,IKO,,,,,,
acquire,1,Extinction Event,IKO,,,,,,
main,1,Eyes Everywhere,RNA,,,,,,
acquire,1,Eyes Everywhere,RNA,,,,,,
main,1,Feed the Swarm,ZNR,,,,,,
acquire,1,Feed the Swarm,ZNR,,,,,,
maybe,1,Firmament Sage,MID,,,,,,
main,1,Flood of Tears,M20,,,,,,
acquire,1,Flood of Tears,M20,,,,,,
main,1,Fortune's Favor,EMN,,,,,,
acquire,1,Fortune's Favor,EMN,,,,,,
main,1,Ghastly Conscription,C19,,,,,,
acquire,1,Ghastly Conscription,C19,,,,,,
maybe,1,Ghostly Flicker,KHC,,,,,,
maybe,1,Gitaxian Probe,NPH,,,,,,
maybe,1,Glasses of Urza,ME4,,,,,,
maybe,1,Grimoire Thief,MOR,,,,,,
main,1,Gudul Lurker,DTK,,,,,,
maybe,1,"Gyruda, Doom of Depths",IKO,,,,,,
maybe,1,Hive Mind,M10,,,,,,
main,1,Howltooth Hollow,LRW,,,,,,
acquire,1,Howltooth Hollow,LRW,,,,,,
maybe,1,Induced Amnesia,RIX,,,,,,
main,15,Island,KHM,,,,,,
main,1,Ixidron,C19,,,,,,
acquire,1,Ixidron,C19,,,,,,
main,1,Jarl of the Forsaken,KHM,,,,,,
acquire,1,Jarl of the Forsaken,KHM,,,,,,
main,1,Jeskai Infiltrator,C18,,,,,,
acquire,1,Jeskai Infiltrator,C18,,,,,,
main,1,Kheru Mind-Eater,C17,,,,,,
acquire,1,Kheru Mind-Eater,C17,,,,,,
main,1,"Lazav, the Multifarious",GRN,,,,,,
main,1,Lens of Clarity,KTK,,,,,,
maybe,1,Liar's Pendulum,MRD,,,,,,
maybe,1,Lochmere Serpent,ELD,,,,,,
maybe,1,Mana Geode,JMP,,,,,,
main,1,Master of Predicaments,M15,,,,,,
acquire,1,Master of Predicaments,M15,,,,,,
maybe,1,Mimic Vat,C20,,,,,,
main,1,Mindleecher,C20,,,,,,
acquire,1,Mindleecher,C20,,,,,,
main,1,Mission Briefing,GRN,,,,,,
acquire,1,Mission Briefing,GRN,,,,,,
main,1,Mnemonic Betrayal,GRN,,,,,,
acquire,1,Mnemonic Betrayal,GRN,,,,,,
main,1,Murder,CMR,,,,,,
main,1,Myr Mindservant,MRD,,,,,,
acquire,1,Myr Mindservant,MRD,,,,,,
maybe,1,Notion Rain,GRN,,,,,,
main,1,Notion Thief,ZNC,,,,,,
acquire,1,Notion Thief,ZNC,,,,,,
main,1,Omen of the Dead,THB,,,,,,
main,1,Omen of the Sea,THB,,,,,,
maybe,1,Order of Succession,C13,,,,,,
maybe,1,Otherworldly Gaze,MID,,,,,,
main,1,Parallel Thoughts,SCG,,,,,,
acquire,1,Parallel Thoughts,SCG,,,,,,
main,1,Perplex,RAV,,,,,,
acquire,1,Perplex,RAV,,,,,,
maybe,1,Perplexing Chimera,BNG,,,,,,
maybe,1,Pithing Needle,MID,,,,,,
main,1,Poison the Cup,KHM,,,,,,
acquire,1,Poison the Cup,KHM,,,,,,
main,1,Primordial Mist,C18,,,,,,
acquire,1,Primordial Mist,C18,,,,,,
maybe,1,Profane Transfusion,CMR,,,,,,
maybe,1,Psychic Intrusion,THS,,,,,,
main,1,Pyxis of Pandemonium,THS,,,,,,
acquire,1,Pyxis of Pandemonium,THS,,,,,,
maybe,1,Quasiduplicate,GRN,,,,,,
main,1,Rakshasa Debaser,CMR,,,,,,
acquire,1,Rakshasa Debaser,CMR,,,,,,
maybe,1,"Rankle, Master of Pranks",ELD,,,,,,
main,1,Read the Bones,TSR,,,,,,
main,1,Reality Shift,C19,,,,,,
acquire,1,Reality Shift,C19,,,,,,
maybe,1,Rogue Class,AFR,,,,,,
main,1,Ruthless Ripper,A25,,,,,,
acquire,1,Ruthless Ripper,A25,,,,,,
main,1,Sanctum of Eternity,C19,,,,,,
acquire,1,Sanctum of Eternity,C19,,,,,,
main,1,Saw it Coming,KHM,,,,,,
acquire,1,Saw it Coming,KHM,,,,,,
maybe,1,Scheming Symmetry,M20,,,,,,
maybe,1,Shared Fate,MRD,,,,,,
main,1,Shelldock Isle,LRW,,,,,,
acquire,1,Shelldock Isle,LRW,,,,,,
main,1,Silumgar Assassin,C19,,,,,,
acquire,1,Silumgar Assassin,C19,,,,,,
maybe,1,Siphon Insight,MID,,,,,,
main,1,Skinthinner,C19,,,,,,
acquire,1,Skinthinner,C19,,,,,,
maybe,1,Sky Diamond,KHC,,,,,,
main,1,Soul Collector,TSB,,,,,,
acquire,1,Soul Collector,TSB,,,,,,
maybe,1,Soul Conduit,NPH,,,,,,
maybe,1,Sower of Temptation,SLD,,,,,,
maybe,1,Spy Network,ONS,,,,,,
maybe,1,Stitch Together,C18,,,,,,
main,1,Stratus Dancer,C19,,,,,,
acquire,1,Stratus Dancer,C19,,,,,,
maybe,1,Sudden Substitution,C19,,,,,,
main,15,Swamp,KHM,,,,,,
maybe,1,Telepathy,M10,,,,,,
maybe,1,The Celestus,MID,,,,,,
maybe,1,The Deck of Many Things,AFR,,,,,,
main,1,The Trickster-God's Heist,KHM,,,,,,
acquire,1,The Trickster-God's Heist,KHM,,,,,,
main,1,Thief of Sanity,GRN,,,,,,
acquire,1,Thief of Sanity,GRN,,,,,,
main,1,Thieving Amalgam,C19,,,,,,
acquire,1,Thieving Amalgam,C19,,,,,,
maybe,1,Thorn of the Black Rose,CMR,,,,,,
main,1,Thought Vessel,CMR,,,,,,
acquire,1,Thought Vessel,CMR,,,,,,
main,1,Thousand Winds,C19,,,,,,
acquire,1,Thousand Winds,C19,,,,,,
maybe,1,Triskaidekaphile,MID,,,,,,
maybe,1,Triskaidekaphobia,A25,,,,,,
main,1,Unblinking Bleb,FUT,,,,,,
acquire,1,Unblinking Bleb,FUT,,,,,,
main,1,Vengeful Reaper,KHM,,,,,,
acquire,1,Vengeful Reaper,KHM,,,,,,
maybe,1,Vesuvan Shapeshifter,TSR,,,,,,
maybe,1,Visions of Duplicity,MIC,,,,,,
maybe,1,Wall of Deceit,DD3,,,,,,
main,1,Watcher for Tomorrow,MH1,,,,,,
maybe,1,Whispering Madness,C16,,,,,,
main,1,Willbender,C19,,,,,,
acquire,1,Willbender,C19,,,,,,
main,1,Wishclaw Talisman,ELD,,,,,,
main,1,Wrong Turn,CMR,,,,,,
acquire,1,Wrong Turn,CMR,,,,,,
