Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Abrade,CMR,,,,,,
main,1,Alpine Guide,MH1,,,,,,
main,1,Anger,UMA,,,,,,
main,1,Arcane Signet,C21,,,,,,
maybe,1,Avaricious Dragon,ORI,,,,,,
main,1,Basilisk Collar,2XM,,,,,,
maybe,1,Blazing Sunsteel,CMR,,,,,,
main,1,Blazing Volley,AKH,,,,,,
maybe,1,Blisterspit Gremlin,IKO,,,,,,
main,1,Bonecrusher Giant,ELD,,,,,,
main,1,Break Through the Line,FRF,,,,,,
main,1,Brimstone Trebuchet,ELD,,,,,,
main,1,Chandra's Incinerator,M21,,,,,,
maybe,1,Chandra's Spitfire,M20,,,,,,
main,1,"Chandra, Fire of Kaladesh",ORI,,,,,,
main,1,Chaos Warp,C19,,,,,,
main,1,Cinderclasm,ZNR,,,,,,
main,1,Conspiracy Theorist,STX,,,,,,
main,1,Cosmotronic Wave,GRN,,,,,,
main,1,Dagger Caster,RNA,,,,,,
main,1,Dance with Devils,SOI,,,,,,
main,1,Desert of the Fervent,HOU,,,,,,
main,1,Dwarven Mine,ELD,,,,,,
maybe,1,Embermaw Hellion,ORI,,,,,,
main,1,Experimental Frenzy,GRN,,,,,,
main,1,Fiery Confluence,CM2,,,,,,
main,1,Firebrand Archer,HOU,,,,,,
maybe,1,Flamebreak,,,,,,,
main,1,Forgotten Cave,C19,,,,,,
main,1,Ghitu Encampment,DDN,,,,,,
main,1,Gibbering Fiend,SOI,,,,,,
main,1,Goblin Chainwhirler,DOM,,,,,,
main,1,Goblin Sharpshooter,C13,,,,,,
main,1,Hanweir Battlements,EMN,,,,,,
main,1,Hanweir Garrison,EMN,,,,,,
main,1,Hazoret's Monument,AKH,,,,,,
main,1,Hellrider,MM3,,,,,,
main,1,Heraldic Banner,ELD,,,,,,
main,1,Hissing Iguanar,UMA,,,,,,
maybe,1,Ignite the Future,C19,,,,,,
main,1,Impact Tremors,DTK,,,,,,
main,1,Imperial Recruiter,MH2,,,,,,
main,1,Inferno Titan,CM2,,,,,,
main,1,"Jaya, Venerated Firemage",WAR,,,,,,
main,1,Kazuul's Fury,ZNR,,,,,,
main,1,"Laelia, the Blade Reforged",C21,,,,,,
main,1,Light Up the Stage,RNA,,,,,,
maybe,1,Magebane Armor,M10,,,,,,
main,1,Markov Blademaster,DKA,,,,,,
main,1,Mask of Immolation,M20,,,,,,
main,25,Mountain,,,,,,,
main,1,Myriad Landscape,C19,,,,,,
main,1,Outpost Siege,C17,,,,,,
main,1,Prophetic Flamespeaker,JOU,,,,,,
main,1,Pyrohemia,CM1,,,,,,
main,1,Quakebringer,KHM,,,,,,
main,1,Raid Bombardment,UMA,,,,,,
main,1,Risk Factor,GRN,,,,,,
main,1,Ruby Medallion,CM2,,,,,,
main,1,Runaway Steam-Kin,GRN,,,,,,
maybe,1,Scalding Salamander,EXO,,,,,,
main,1,Scorch Spitter,M20,,,,,,
maybe,1,Shield of the Realm,DOM,,,,,,
main,1,Siege-Gang Commander,GNT,,,,,,
maybe,1,Slagstorm,MBS,,,,,,
main,1,Smoldering Crater,CM2,,,,,,
main,1,Sol Ring,C19,,,,,,
main,1,Spear Spewer,RNA,,,,,,
main,1,Spikefield Hazard,ZNR,,,,,,
main,1,Spinerock Knoll,C16,,,,,,
main,1,Spiteful Prankster,JMP,,,,,,
main,1,Stromkirk Occultist,C19,,,,,,
main,1,Swiftfoot Boots,C18,,,,,,
main,1,Tectonic Giant,THB,,,,,,
main,1,Temple of the False God,C19,,,,,,
main,1,Thermo-Alchemist,UMA,,,,,,
main,1,"Tibalt, Rakish Instigator",WAR,,,,,,
main,1,"Toralf, God of Fury",KHM,,,,,,
main,1,"Torbran, Thane of Red Fell",ELD,,,,,,True
main,1,Tormentor's Helm,KHM,,,,,,
main,1,Treasonous Ogre,CNS,,,,,,
main,1,Tunneling Geopede,BFZ,,,,,,
maybe,1,Unstable Obelisk,,,,,,,
maybe,1,Valakut Exploration,ZNR,,,,,,
main,1,Vandalblast,C15,,,,,,
main,1,"Varchild, Betrayer of Kjeldor",C18,,,,,,
maybe,1,Viashino Heretic,ULG,,,,,,
main,1,Volcanic Fallout,000,,,,,,
main,1,Vulshok Sorcerer,DDI,,,,,,
main,1,Wildfire Elemental,M20,,,,,,
