Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Active Volcano,,,,,,,
main,1,Aether Gust,,,,,,,
main,1,"Akroma, Angel of Fury",,,,,,,
main,1,Alter Reality,,,,,,,
main,1,Anarchy,,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Archaeomancer,,,,,,,
maybe,1,Archmage Emeritus,,,,,,,
maybe,1,Ardent Elementalist,MID,,,,,,
main,1,Blind Seer,,,,,,,
main,1,Blue Elemental Blast,,,,,,,
main,1,Brainstorm,,,,,,,
main,1,Castle Vantress,,,,,,,
main,1,Cerulean Wisps,,,,,,,
maybe,1,Ceta Sanctuary,,,,,,,
maybe,1,"Chandra, Torch of Defiance",,,,,,,
main,1,Command Tower,,,,,,,
main,1,Consider,,,,,,,
main,1,Corrupted Grafstone,,,,,,,
main,1,Cowardice,,,,,,,
main,1,Crimson Wisps,,,,,,,
maybe,1,Crystal Spray,,,,,,,
main,1,Desert of the Fervent,,,,,,,
main,1,Desert of the Mindful,,,,,,,
main,1,Disciple of the Ring,,,,,,,
main,1,Dismiss into Dream,,,,,,,
main,1,Distorting Lens,,,,,,,
maybe,1,Docent of Perfection,,,,,,,
main,1,Douse,,,,,,,
main,1,Dragon's Rage Channeler,,,,,,,
main,1,Dwarven Song,,,,,,,
maybe,1,Electrostatic Field,,,,,,,
main,1,Evolving Wilds,,,,,,,
main,1,Exotic Orchard,,,,,,,
maybe,1,Fabricate,,,,,,,
main,1,Fellwar Stone,,,,,,,
maybe,1,Firebrand Archer,,,,,,,
main,1,Flamekin Village,,,,,,,
main,1,Flash Flood,,,,,,,
main,1,Forgotten Cave,,,,,,,
maybe,1,Fractured Loyalty,,,,,,,
main,1,Fylamarid,,,,,,,
maybe,1,"Gadwick, the Wizened",,,,,,,
maybe,1,Gamble,,,,,,,
main,1,Glamerdye,,,,,,,
main,1,Goblin Dark-Dwellers,,,,,,,
maybe,1,Grindstone,,,,,,,
main,1,Grinning Ignus,,,,,,,
maybe,1,Guttersnipe,,,,,,,
main,1,Hibernation,,,,,,,
main,1,Hydroblast,,,,,,,
main,1,Indigo Faerie,,,,,,,
main,1,Insight,,,,,,,
main,1,Irencrag Pyromancer,,,,,,,
main,10,Island,,,,,,,
main,1,Izzet Boilerworks,,,,,,,
main,1,Izzet Signet,,,,,,,
maybe,1,Jaded Response,,,,,,,
main,1,"Jaya Ballard, Task Mage",,,,,,,
main,1,"Jori En, Ruin Diver",000,foil,,,,,True
maybe,1,"Keranos, God of Storms",SLD,,,,,,
main,1,"Llawan, Cephalid Empress",,,,,,,
main,1,Lonely Sandbar,,,,,,,
maybe,1,Long-Term Plans,,,,,,,
main,1,Lore Drakkis,,,,,,,
maybe,1,Lunar Mystic,,,,,,,
main,1,Metathran Transport,,,,,,,
main,1,Meteor Crater,,,,,,,
main,1,Midnight Clock,,,,,,,
main,5,Mountain,,,,,,,
main,1,Mourner's Shield,,,,,,,
maybe,1,Murmuring Mystic,,,,,,,
maybe,1,Mystic Remora,,,,,,,
main,1,Mystic Sanctuary,,,,,,,
main,1,"Niv-Mizzet, Dracogenius",,,,,,,
main,1,"Niv-Mizzet, Parun",,,,,,,
main,1,Opt,,,,,,,
maybe,1,Painter's Servant,SHM,,,,,,
main,1,Prismatic Lace,,,,,,,
main,1,Pyroblast,,,,,,,
main,1,Quickchange,,,,,,,
main,1,"Ral, Izzet Viceroy",,,,,,,
main,1,Red Elemental Blast,,,,,,,
main,1,Remote Isle,,,,,,,
maybe,1,"Saheeli, Sublime Artificer",,,,,,,
main,1,Scavenger Grounds,,,,,,,
main,1,Scuttlemutt,,,,,,,
main,1,Sea Kings' Blessing,,,,,,,
main,1,Searing Rays,,,,,,,
main,1,Shifting Sky,,,,,,,
main,1,Shivan Reef,,,,,,,
main,1,Silundi Vision,,,,,,,
maybe,1,Sleight of Mind,,,,,,,
main,1,Smoldering Crater,,,,,,,
main,1,Soul-Guide Lantern,,,,,,,
maybe,1,Sphinx-Bone Wand,,,,,,,
main,1,Star Compass,,,,,,,
main,1,Stormbreath Dragon,,,,,,,
main,1,Sudden Demise,,,,,,,
main,1,Sway of Illusion,,,,,,,
main,1,Swirl the Mists,,,,,,,
main,1,Talisman of Creativity,,,,,,,
maybe,1,"Talrand, Sky Summoner",,,,,,,
main,1,Temple of Epiphany,,,,,,,
main,1,Terramorphic Expanse,,,,,,,
maybe,1,The Locust God,C20,,,,,,
maybe,1,Thought Prison,,,,,,,
maybe,1,Tidal Control,,,,,,,
main,1,Tidal Visionary,,,,,,,
maybe,1,Tribute Mage,,,,,,,
maybe,1,Trinket Mage,,,,,,,
main,1,Valakut Awakening,,,,,,,
main,1,Visions of Beyond,,,,,,,
main,1,Vodalian Mystic,,,,,,,
main,1,Wash Out,,,,,,,
main,1,Wayfarer's Bauble,,,,,,,
maybe,1,Well-Laid Plans,,,,,,,
maybe,1,Whim of Volrath,,,,,,,
main,1,Willbreaker,,,,,,,
maybe,1,Young Pyromancer,,,,,,,
