Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Aggravated Assault,EO2,,,,,,
main,1,Alhammarret's Archive,ORI,foil,,,,,
main,1,Ancient Tomb,V12,foil,,,,,
main,1,Arcane Signet,CMR,foil,,,,,
main,1,Arid Mesa,MH2,foil,,,,,
main,1,Berserkers' Onslaught,,,,,,,
main,1,Blasphemous Act,ISD,foil,,,,,
main,1,Blood Mist,,,,,,,
main,1,Bloodstained Mire,KTK,,,,,,
main,1,Bolt Bend,WAR,foil,True,,,,
main,1,"Brallin, Skyshark Rider",C20,foil,,,,,
main,1,Buried Ruin,M12,foil,,,,,
main,1,Cavalier of Flame,M20,foil,,,,,
main,1,Chandra's Ignition,ORI,foil,,,,,
main,1,"Chandra, Flamecaller",OGW,foil,,,,,
main,1,"Chandra, Torch of Defiance",S18,foil,,,,,
main,1,Chaos Warp,CMA,foil,,,,,
main,1,Command Beacon,CMR,foil,,,,,
main,1,Conspiracy Theorist,STX,foil,,,,,
main,1,Crucible of Worlds,M19,foil,,,,,
main,1,Crystal Vein,GRV,foil,,,,,
main,1,Cursed Mirror,C21,,,,,,
main,1,"Daretti, Scrap Savant",CM2,foil,,,,,
main,1,Deflecting Swat,C20,,,,,,
main,1,Dire Fleet Daredevil,RIX,foil,,,,,
main,1,Dockside Extortionist,C19,,,,,,
main,1,Dualcaster Mage,000,foil,,,,,
main,1,Duplicant,EMA,foil,,,,,
main,1,Electrodominance,RNA,foil,,,,,
main,1,Emergence Zone,WAR,,,,,,
main,1,Expedition Map,MM2,foil,,,,,
main,1,Fabled Passage,ELD,foil,,,,,
maybe,1,Faithless Looting,DKA,foil,,,,,
main,1,Fellwar Stone,C15,,,,,,
main,1,Fireshrieker,CMR,,,,,,
main,1,Flamekin Village,C14,,,,,,
main,1,Gamble,EMA,foil,,,,,
main,1,Generator Servant,UMA,foil,,,,,
maybe,1,Glacial Crevasses,ICE,,,,,,
main,1,Glint-Horn Buccaneer,M20,foil,,,,,
main,1,Goblin Engineer,MH1,foil,,,,,
main,1,Goblin Welder,DDU,foil,,,,,
main,1,Grim Monolith,ULG,,,,,,
main,1,Hall of the Bandit Lord,CHK,,,,,,
main,1,Imperial Recruiter,MH2,foil,,,,,
main,1,Infiltration Lens,SOM,,,,,,
main,1,Inventors' Fair,KLD,foil,,,,,
main,1,Jeska's Will,CMR,foil,,,,,
main,1,"Kiki-Jiki, Mirror Breaker",V11,foil,,,,,
main,1,Lightning Greaves,MRD,foil,,,,,
main,1,Lotus Petal,V09,foil,,,,,
main,1,Mana Crypt,EMA,foil,,,,,
main,1,Mana Vault,UMAP,foil,,,,,
maybe,1,Mana Web,WTH,,,,,,
main,1,Meteor Golem,M19,foil,,,,,
main,1,Mind Stone,000,foil,,,,,
main,1,Mox Diamond,STH,,,,,,
main,1,"Neheb, Dreadhorde Champion",WAR,foil,,,,,True
maybe,1,Price of Glory,ODY,foil,,,,,
main,1,"Ragavan, Nimble Pilferer",,,,,,,
maybe,1,Rage Reflection,,,,,,,
main,1,Red Elemental Blast,A25,foil,,,,,
main,1,Ruby Medallion,C14,,,,,,
main,1,Sandstone Oracle,IMA,foil,,,,,
main,1,Scalding Tarn,MH2,foil,,,,,
main,1,Scrap Mastery,C14,,,,,,
main,1,Seasoned Pyromancer,MH1,foil,,,,JA,
main,1,Seething Song,9ED,,,,,,
maybe,1,Shadowspear,THB,foil,,,,,
main,18,Snow-Covered Mountain,MH1,foil,,,,,
main,1,Sol Ring,000,foil,,,,,
main,1,"Squee, Goblin Nabob",MMA,foil,,,,,
main,1,Starstorm,ONS,foil,,,,,
side,1,Static Orb,TMP,,,,,JA,
main,1,Steel Hellkite,000,pre,,,,,
maybe,1,Stranglehold,CM1,,,,,,
main,1,Strip Mine,V09,foil,,,,,
main,1,Swiftfoot Boots,A25,foil,,,,,
main,1,Sword of the Animist,ORI,foil,,,,JA,
side,1,Tangle Wire,V13,foil,,,,,
main,1,Trash for Treasure,MRD,foil,,,,,
main,1,Treasonous Ogre,MYSTOR,foil,,,,,
main,1,"Ugin, the Spirit Dragon",M21,pre,,,,,
main,1,Underworld Breach,THB,foil,,,,,
main,1,Valakut Awakening,ZNR,foil,,,,,
main,1,"Valakut, the Molten Pinnacle",000,foil,,,,,
maybe,1,Vandalblast,RTR,foil,,,,,
main,1,Vesuva,V12,foil,,,,,
maybe,1,Wasteland,000,foil,,,,,
main,1,Wheel of Fortune,3ED,,,,,FR,
main,1,Wheel of Misfortune,CMR,foil,,,,,
main,1,Winding Canyons,WTH,,,,,,
side,1,Winter Orb,EMA,foil,,,,,
main,1,Wooded Foothills,KTK,,,,,JA,
main,1,Zealous Conscripts,AVR,foil,,,,,
