Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,2XM,,,,,,
main,1,Aether Spellbomb,,,,,,,
main,1,Altar of the Brood,,,,,,,
main,1,Angel of the Ruins,C21,,,,,,
main,1,Animate Dead,EMA,,,,,,
main,1,Arcane Denial,CMR,,,,,,
main,1,Arcane Sanctum,ALA,,,,,,
main,1,Arcane Signet,ELD,,,,,,
main,1,Artificer's Intuition,,,,,,,
main,1,Azorius Signet,,,,,,,
main,1,Baleful Strix,PC2,,,,,,
main,1,Bojuka Bog,,,,,,,
main,1,Command Tower,,,,,,,
main,1,Conjurer's Closet,AVR,,,,,,
main,1,Counterspell,STA,,,,,,
main,1,Cyclonic Rift,,,,,,,
main,1,Damn,,,,,,,
main,1,Dance of the Manse,,,,,,,
main,1,Darksteel Citadel,,,,,,,
main,1,Darksteel Forge,,,,,,,
main,1,Demonic Tutor,,,,,,,
main,1,Dimir Signet,,,,,,,
main,1,Dispeller's Capsule,ALA,,,,,,
main,1,Drowned Catacomb,M10,,,,,,
main,1,Esper Charm,ALA,,,,,,
main,1,Esper Panorama,ALA,,,,,,
main,1,Esper Sentinel,,,,,,,
main,1,Etherium Sculptor,ALA,,,,,,
main,1,Ethersworn Adjudicator,CON,,,,,,
main,1,Ethersworn Canonist,ALA,,,,,,
main,1,Ethersworn Sphinx,,,,,,,
main,1,Executioner's Capsule,ALA,,,,,,
main,1,Exotic Orchard,CON,,,,,,
main,1,Fabricate,,,,,,,
main,1,Fact or Fiction,,,,,,,
main,1,Filigree Angel,ARB,,,,,,
main,1,Flooded Strand,,,,,,,
main,1,Glacial Fortress,M10,,,,,,
main,1,Godless Shrine,,,,,,,
main,1,Hallowed Fountain,,,,,,,
main,1,Heliod's Intervention,THB,,,,,,
main,1,Inkwell Leviathan,CON,,,,,,
main,1,Intuition,,,,,,,
main,1,Inventors' Fair,,,,,,,
main,7,Island,,,,,,,
main,1,Magister Sphinx,CON,,,,,,
main,1,Marsh Flats,ZEN,,,,,,
main,1,Master Transmuter,CON,,,,,,
main,1,Memory Jar,,,,,,,
main,1,Mind Stone,,,,,,,
main,1,Mindslaver,,,,,,,
main,1,Mirrodin Besieged,MH1,,,,,,
main,1,Mistvault Bridge,,,,,,,
main,1,Morphic Pool,,,,,,,
main,1,Mox Opal,,,,,,,
main,1,Nihil Spellbomb,,,,,,,
main,1,Open the Vaults,,,,,,,
main,1,Orzhov Signet,,,,,,,
main,1,Path to Exile,CON,,,,,,
main,1,Phyrexian Metamorph,,,,,,,
main,3,Plains,,,,,,,
main,1,Polluted Delta,,,,,,,
main,1,Razortide Bridge,,,,,,,
main,1,Reflecting Pool,,,,,,,
main,1,Rhystic Study,,,,,,,
main,1,Scourglass,,,,,,,
main,1,Sculpting Steel,,,,,,,
main,1,Sea of Clouds,BBD,,,,,,
main,1,Sen Triplets,ARB,,,,,,
acquire,1,Sen Triplets,,,,,,,
main,1,Sharuum the Hegemon,ALA,,,,,,True
main,1,Smothering Tithe,RNA,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solemn Simulacrum,,,,,,,
main,1,Sphinx of the Steel Wind,ARB,,,,,,
main,1,Sphinx Summoner,CON,,,,,,
main,1,Spire of Industry,,,,,,,
main,1,Strip Mine,,,,,,,
main,2,Swamp,,,,,,,
main,1,Sword of the Meek,,,,,,,
main,1,Swords to Plowshares,,,,,,,
main,1,Tezzeret the Seeker,ALA,,,,,,
main,1,Thirst for Knowledge,,,,,,,
main,1,Thopter Foundry,ARB,,,,,,
main,1,Thought Monitor,,,,,,,
main,1,Time Sieve,ARB,,,,,,
main,1,Trinket Mage,,,,,,,
main,1,Unburial Rites,,,,,,,
main,1,Urza's Saga,,,,,,,
main,1,Watery Grave,,,,,,,
main,1,Wayfarer's Bauble,,,,,,,
main,1,Wurmcoil Engine,SOM,,,,,,
