Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ant Queen,000,,,,,,
main,1,Arcane Signet,ZNC,,,,,,
main,1,Beacon of Creation,5DN,,,,,,
main,1,Beast Within,CN2,,,,,,
main,1,Beastmaster Ascension,C14,,,,,,
main,1,Blasphemous Act,C16,,,,,,
main,1,"Blex, Vexing Pest",STX,,,,,,
main,1,Blighted Woodland,TSR,,,,,,
main,1,Broodhatch Nantuko,A25,,,,,,
main,1,Carrion,MIR,,,,,,
main,1,Castle Embereth,ELD,,,,,,
main,1,Casualties of War,WAR,,,,,,
main,1,Caustic Caterpillar,ORI,,,,,,
main,1,Chain Reaction,WWK,,,,,,
main,1,Chandra's Ignition,ORI,,,,,,
main,1,Cinder Glade,C19,,,,,,
main,1,Coat of Arms,PDS,foil,,,,,
main,1,Command Tower,CC1,,,,,,
main,1,Crash of Rhino Beetles,C18,,,,,,
main,1,Cryptolith Rite,SOI,,,,,,
main,1,Devouring Swarm,M12,foil,,,,,
main,1,Door of Destinies,M14,,,,,,
main,1,Doubling Season,RAV,,,,,,
main,1,Dragonlair Spider,PCA,,,,,,
main,1,Ebony Fly,AFC,,,,,,
main,1,Eldrazi Monument,ZEN,,,,,,
main,1,Fervor,M13,,,,,,
main,1,Field of Ruin,TSR,,,,,,
main,1,Fire-Lit Thicket,2XM,,,,,,
main,1,Fires of Yavimaya,INV,,,,,,
main,6,Forest,UND,foil,,,,,
main,1,Game Trail,SOI,,,,,,
main,1,Giant Adephage,GTC,,,,,,
main,1,Golgari Charm,UMA,,,,,,
main,1,"Grist, the Hunger Tide",MH2,,,,,,
main,1,Haunted Ridge,MID,,,,,,
main,1,Heroic Intervention,M21,,,,,,
main,1,Hornet Nest,M15,foil,,,,,
main,1,Hornet Queen,M15,,,,,,
main,1,Impact Tremors,DTK,,,,,,
main,1,"Izoni, Thousand-Eyed",GRN,foil,,,,,
main,1,Kessig Wolf Run,ISD,,,,,,
main,1,Kindred Summons,AFC,,,,,,
main,1,Lightning Greaves,2XM,,,,,,
main,1,Living Hive,MRD,,,,,,
main,1,Llanowar Wastes,ORI,,,,,,
main,1,Mana Echoes,ONS,,,,,,
main,1,Metallic Mimic,AER,,,,,,
main,1,Moldgraf Monstrosity,C18,,,,,,
main,1,Mossfire Valley,ODY,,,,,,
main,2,Mountain,XLN,,,,,,
main,1,Nantuko Elder,ODY,foil,,,,,
main,1,Nantuko Husk,ORI,foil,,,,,
main,1,Nature's Lore,ICE,,,,,,
main,1,Nissa's Pilgrimage,000,,,,,,
main,1,Obelisk of Urd,M15,,,,,,
main,1,"Oran-Rief, the Vastwood",ZEN,,,,,,
main,1,Overgrown Tomb,GRN,,,,,,
main,1,Parallel Lives,ISD,,,,,,
main,1,Path of Ancestry,CMR,,,,,,
main,1,Phyrexian Arena,HOP,,,,,,
main,1,Primal Vigor,C13,,,,,,
main,1,Rockfall Vale,MID,,,,,,
main,1,Rogue's Passage,CN2,,,,,,
main,1,Saber Ants,MMQ,,,,,,
main,1,Scute Mob,DDP,,,,,,
main,1,Scute Swarm,ZNR,,,,,,
main,1,Second Harvest,SOI,,,,,,
main,1,Shadowblood Ridge,C20,,,,,,
main,1,Shared Animosity,C20,,,,,,
main,1,Sheltered Thicket,AKH,,,,,,
main,1,Skullclamp,CMD,,,,,,
main,1,Skyshroud Claim,NMS,,,,,,
main,1,Smoldering Marsh,BFZ,,,,,,
main,1,Sol Ring,CC1,,,,,,
main,1,Song of Freyalise,,,,,,,
main,1,Star of Extinction,XLN,,,,,,
main,1,Stomping Ground,GTC,,,,,,
main,1,Strip Mine,ZNE,,,,,,
main,2,Swamp,DDD,,,,,,
main,1,Swarmyard,TSP,,,,,,
main,1,Swiftfoot Boots,CM2,,,,,,
main,1,Symbiotic Wurm,ONS,,,,,,
main,1,The Great Henge,ELD,,,,,,
main,1,The Hive,2ED,,,,,,
main,1,Three Visits,CMR,,,,,,
main,1,"Toski, Bearer of Secrets",KHM,,,,,,
main,1,Triumph of the Hordes,MYS1,,,,,,
main,1,Twilight Mire,2XM,,,,,,
main,1,Unclaimed Territory,XLN,,,,,,
main,1,Woodland Cemetery,DOM,,,,,,
main,1,Wrap in Vigor,FUT,,,,,,
main,1,Xira Arien,CHR,,,,,,True
