Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,"Adrix and Nev, Twincasters",C21,,,,,,
main,1,Beast Within,NPH,,,,,,
main,1,Beastmaster Ascension,ZEN,,,,,,
main,1,Blasphemous Act,ISD,,,,,,
main,1,Blue Sun's Zenith,MBS,,,,,,
main,1,Breeding Pool,DIS,,,,,,
main,1,Burgeoning,STH,,,,,,
maybe,1,Burning Inquiry,M10,,,,,,
main,1,Cascade Bluffs,EVE,,,,,,
side,1,Cerebral Vortex,GPT,,,,,,
maybe,1,Cerebral Vortex,GPT,,,,,,
main,1,Champion of Lambholt,AVR,foil,,,,,
main,1,Chasm Skulker,M15,,,,,,
main,1,Coat of Arms,EXO,,,,,,
main,1,Cultivate,FNM,,,,,,
main,1,Cultural Exchange,ODY,,,,,,
main,1,Curiosity Crafter,C21,,,,,,
main,1,Dictate of Kruphix,000,,,,,,
main,1,Dragon Mage,SCG,,,,,,
maybe,1,Echo of Eons,MH1,,,,,,
main,1,"Edric, Spymaster of Trest",CMD,,,,,,
main,1,Eldrazi Monument,ZEN,,,,,,
main,1,"Esix, Fractal Bloom",C21,foil,,,,,
main,1,Exotic Orchard,CON,,,,,,
main,1,Expansion / Explosion,GRN,,,,,,
main,1,"Ezuri, Claw of Progress",C15,,,,,,
maybe,1,Farseek,000,,,,,,
main,1,Fire-Lit Thicket,SHM,,,,,,
main,1,Flooded Grove,EVE,,,,,,
main,1,Forced Fruition,LRW,,,,,,
main,7,Forest,THB,,,,,,
main,1,Freed from the Real,SOK,,,,,,
main,1,Growing Rites of Itlimoc,000,,,,,,
main,1,Gruul Signet,GPT,,,,,,
maybe,1,Heartwood Storyteller,FUT,,,,,,
maybe,1,Helm of the Host,DOM,,,,,,
main,1,Hinterland Harbor,ISD,,,,,,
main,1,Howling Mine,3ED,,,,,,
main,1,Impact Tremors,DTK,,,,,,
main,1,Incendiary Command,LRW,,,,,,
main,7,Island,THB,,,,,,
main,1,Izzet Signet,GPT,,,,,,
main,1,"Jace, Wielder of Mysteries",SLD,foil,,,,,
main,1,"Jolrael, Mwonvuli Recluse",M21,,,,,,
main,1,Junk Winder,MH2,,,,,,
main,1,Kami of the Crescent Moon,SOK,,,,,,
main,1,"Kaseto, Orochi Archmage",C15,,,,,,
main,1,Kessig Wolf Run,ISD,,,,,,
main,1,Ketria Triome,IKO,,,,,,
main,1,Khorvath's Fury,BBD,,,,,,
maybe,1,"Kinnan, Bonder Prodigy",IKO,,,,,,
main,1,Kodama's Reach,CHK,,,,,,
main,1,Ley Weaver,BBD,,,,,,
maybe,1,Library of Leng,3ED,,,,,,
main,1,Lorescale Coatl,ARB,,,,,,
maybe,1,Magus of the Wheel,C15,,,,,,
main,1,Migration Path,IKO,,,,,,
main,1,Mizzium Mortars,RTR,,,,,,
main,1,Molten Psyche,SOM,,,,,,
main,6,Mountain,THB,,,,,,
side,1,Nadir Kraken,THB,,,,,,
maybe,1,Nadir Kraken,THB,,,,,,
maybe,1,"Niv-Mizzet, Parun",GRN,,,,,,
maybe,1,"Niv-Mizzet, the Firemind",000,,,,,,
main,1,Ohran Frostfang,C19,,,,,,
main,1,Ominous Seas,IKO,,,,,,
main,1,"Oran-Rief, the Vastwood",ZEN,,,,,,
main,1,Parallel Lives,ISD,,,,,,
main,1,Prosperity,VIS,,,,,,
main,1,Psychosis Crawler,MBS,,,,,,
main,1,"Purphoros, God of the Forge",SLD,foil,,,,,
main,1,Rampant Growth,000,,,,,,
main,1,Reconnaissance Mission,IKO,,,,,,
main,1,Reforge the Soul,AVR,,,,,,
main,1,Reliquary Tower,000,,,,,,
maybe,1,"Rielle, the Everwise",IKO,,,,,,
main,1,Rogue's Passage,RTR,,,,,,
main,1,Rootbound Crag,XLN,,,,,,
main,1,"Sakiko, Mother of Summer",BOK,,,,,,
main,1,Seshiro the Anointed,CHK,,,,,,
main,1,Shared Animosity,MOR,,,,,,
main,1,"Shisato, Whispering Hunter",CHK,,,,,,
main,1,Simic Signet,DIS,,,,,,
main,1,Skullclamp,DST,,,,,,
maybe,1,Spark Double,WAR,,,,,,
main,1,Steam Vents,GPT,,,,,,
main,1,Stomping Ground,GPT,,,,,,
main,1,Stoneforge Masterwork,OGW,,,,,,
main,1,Sulfur Falls,ISD,,,,,,
main,1,Sword of War and Peace,NPH,,,,,,
main,1,Teferi's Ageless Insight,M21,,,,,,
main,1,Teferi's Puzzle Box,VIS,,,,,,
main,1,The Locust God,HOU,,,,,,
main,1,Time Reversal,M11,,,,,,
main,1,Triumph of the Hordes,NPH,,,,,,
maybe,1,Vision Skeins,DIS,,,,,,
main,1,Wheel and Deal,ONS,,,,,,
main,1,Whirlpool Warrior,APC,,,,,,
main,1,Windfall,USG,,,,,,
maybe,1,Words of Wind,ONS,,,,,,
side,1,"Xenagos, the Reveler",THS,,,,,,
maybe,1,"Xenagos, the Reveler",THS,,,,,,
main,1,"Xyris, the Writhing Storm",C20,foil,,,,,True
