Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Amoeboid Changeling,LRW,,,,,,
main,1,Anguished Unmaking,,,,,,,
main,1,Arcane Signet,ELD,,,,,,
main,1,Birds of Paradise,M11,,,,,,
main,1,Blood Crypt,RTR,,,,,,
main,1,Bloodstained Mire,KTK,,,,,,
main,1,Breeding Pool,,,,,,,
main,1,Cascading Cataracts,,,,,,,
main,1,Cavern of Souls,,,,,,,
main,1,Chameleon Colossus,ARC,,,,,,
main,1,Changeling Outcast,,,,,,,
main,1,Chromatic Lantern,RTR,,,,,,
main,1,City of Brass,5ED,,,,,JA,
main,1,Command Tower,CC1,,,,,,
main,1,Composite Golem,5DN,,,,,,
maybe,1,Crystal Quarry,ODY,,,,,,
main,1,Cyclonic Rift,,,,,,,
main,1,Demonic Tutor,3ED,,,,,,
maybe,1,Demonic Tutor,3ED,,,,,,
main,1,Divine Reckoning,C17,,,,,,
main,1,Double Major,STX,,,,,,
maybe,1,Dryad of the Ilysian Grove,THB,,,,,,
maybe,1,Eerie Ultimatum,IKO,,,,,,
main,1,Eladamri's Call,MH1,,,,,,
main,1,"Esika, God of the Tree",KHM,,,,,,
main,1,Exotic Orchard,,,,,,,
maybe,1,Farmstead Gleaner,MH1,,,,,,
main,1,Farseek,C16,,,,,,
maybe,1,Fauna Shaman,M11,,,,,,
main,1,Fierce Guardianship,C20,,,,,,
main,1,Finale of Devastation,WAR,,,,,,
maybe,1,Fire-Belly Changeling,LRW,,,,,,
main,1,Forbidden Orchard,C16,,,,,,
main,1,Forest,ZEN,,,,,,
main,1,Gemhide Sliver,,,,,,,
maybe,1,Gemstone Mine,,,,,,,
maybe,1,Genesis Ultimatum,IKO,,,,,,
maybe,1,Ghostway,GPT,,,,,,
main,1,Godless Shrine,GTC,,,,,,
main,1,Grand Architect,SOM,foil,,,,,
main,1,Grand Coliseum,C16,,,,,,
main,1,Graveshifter,,,,,,,
main,1,Hallowed Fountain,RTR,,,,,,
main,1,Heroic Intervention,,,,,,,
main,1,Indatha Triome,IKO,,,,,,
main,1,Island,ZEN,,,,,,
main,1,Ketria Triome,IKO,,,,,,
main,1,"Kira, Great Glass-Spinner",BOK,,,,,,
main,1,Leyline of Anticipation,,,,,,,
main,1,Lightning Greaves,C16,,,,,,
main,1,Liliana's Contract,M19,,,,,,
main,1,"Lin Sivvi, Defiant Hero",NMS,,,,,,
maybe,1,Maelstrom Nexus,ARB,,,,,,
main,1,Mana Confluence,CMR,pre,,,,,
main,1,Mana Drain,CMR,,,,,,
main,1,Manaweft Sliver,M14,,,,,,
main,1,Marsh Flats,ZEN,,,,,,
main,1,Maskwood Nexus,KHM,,,,,,
maybe,1,Metallic Mimic,,,,,,,
main,1,Mimic Vat,SOM,,,,,,
main,1,Mirror Entity,LRW,,,,,,
main,1,Moonglove Changeling,MOR,,,,,,
main,1,Mothdust Changeling,MMA,,,,,,
main,1,Mountain,ZEN,,,,,,
maybe,1,Murmuring Bosk,MOR,,,,,,
main,1,Nature's Lore,ICE,,,,,,
main,1,Nim Deathmantle,SOM,,,,,,
maybe,1,Opposition Agent,CMR,,,,,,
main,1,Overgrown Tomb,RTR,,,,,,
main,1,Path of Ancestry,,,,,,,
main,1,Phantasmal Image,M12,,,,,,
main,1,Pili-Pala,SHM,,,,,,
main,1,Plains,ZEN,,,,,,
maybe,1,Privileged Position,RAV,,,,,,
main,1,Raugrin Triome,IKO,,,,,,
main,1,Realms Uncharted,ROE,,,,,,
main,1,Reaper King,SLD,foil,,,,,True
main,1,Reflecting Pool,,,,,,,
main,1,Rhystic Study,PCY,,,,,,
main,1,Rite of Replication,C15,,,,,,
main,1,Ruinous Ultimatum,IKO,,,,,,
main,1,Sacred Foundry,GTC,,,,,,
main,1,Saheeli Rai,KLD,,,,,,
main,1,Sakashima of a Thousand Faces,CMR,,,,,,
main,1,Sakashima the Impostor,MYS1,,,,,,
main,1,Savai Triome,IKO,,,,,,
main,1,Scalding Tarn,,,,,,,
main,1,Scarecrone,EVE,,,,,,
main,1,Scuttlemutt,SHM,,,,,,
main,1,Shadowspear,THB,,,,,,
main,1,"Shalai, Voice of Plenty",DOM,,,,,,
main,1,Shapesharer,LRW,,,,,,
maybe,1,Skeletal Changeling,LRW,,,,,,
maybe,1,Skyclave Relic,ZNR,,,,,,
maybe,1,Sliver Hive,M15,foil,,,,,
main,1,Sliver Hivelord,M15,,,,,,
main,1,Sol Ring,CC1,,,,,,
maybe,1,Soul Foundry,MRD,,,,,,
main,1,Spark Double,,,,,,,
main,1,Steam Vents,RTR,,,,,,
maybe,1,Steely Resolve,ONS,,,,,,
main,1,Stomping Ground,GTC,,,,,,
main,1,Supreme Verdict,,,,,,,
main,1,Swamp,ZEN,,,,,,
main,1,Sylvan Library,CC1,,,,,,
maybe,1,"Tamiyo, Field Researcher",EMN,,,,,,
maybe,1,Tarnished Citadel,ODY,,,,,,
maybe,1,Taurean Mauler,HOP,,,,,,
main,1,Temple Garden,RTR,,,,,,
main,1,The World Tree,KHM,,,,,,
main,1,Three Visits,CMR,,,,,,
main,1,Unsettled Mariner,,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",PLC,,,,,,
main,1,Vedalken Orrery,,,,,,,
main,1,"Venser, the Sojourner",SOM,,,,,,
main,1,Verdant Catacombs,,,,,,,
main,1,Vexing Shusher,000,foil,,,,,
main,1,Vindicate,,,,,,,
main,1,Watery Grave,,,,,,,
maybe,1,Whip of Erebos,THS,,,,,,
main,1,Winds of Abandon,MH1,,,,,,
main,1,Windswept Heath,,,,,,,
main,1,Wingrattle Scarecrow,SHM,,,,,,
maybe,1,Woodland Changeling,LRW,,,,,,
main,1,Zagoth Triome,IKO,,,,,,
