Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,"Alela, Artful Provocateur",ELD,foil,,,,,True
main,1,Anguished Unmaking,SOI,,,,,,
main,1,Arcane Signet,ELD,,,,,,
maybe,1,As Foretold,AKH,,,,,,
main,1,Aura of Silence,MYS1,,,,,,
main,1,Baleful Strix,C13,,,,,,
main,1,Bident of Thassa,THS,,,,,,
main,1,Bitterblossom,UMA,,,,,,
main,1,Brazen Borrower,ELD,,,,,,
main,1,Castle Vantress,ELD,,,,,,
main,1,Caves of Koilos,C16,,,,,,
main,1,Celestial Colonnade,UMA,,,,,,
main,1,Chrome Courier,MH2,foil,,,,,
main,1,Chrome Mox,2XM,,,,,,
main,1,Coat of Arms,MYS1,,,,,,
main,1,Command Tower,C13,,,,,,
main,1,Conclave Tribunal,000,foil,,,,,
main,1,Court of Grace,CMR,foil,,,,,
main,1,Creeping Tar Pit,UMA,,,,,,
main,1,Cyclonic Rift,RTR,,,,,,
main,1,Dance of the Manse,ELD,,,,,,
main,1,Darksteel Mutation,CM1,,,,,,
main,1,Dire Undercurrents,SHM,,,,,,
main,1,Drowned Catacomb,M13,,,,,,
main,1,Esper Sentinel,MH2,,,,,,
maybe,1,Estrid's Invocation,,,,,,,
main,1,Etchings of the Chosen,MH1,,,,,,
main,1,Ethereal Absolution,RNA,,,,,,
main,1,Exotic Orchard,CON,,,,,,
main,1,Fabled Passage,ELD,,,,,,
main,1,Favorable Winds,XLN,,,,,,
main,1,Fetid Heath,EVE,,,,,,
main,1,Fierce Guardianship,C20,,,,,,
main,1,Flooded Strand,KTK,,,,,,
main,1,Force of Negation,MH1,,,,,,
main,1,Glacial Fortress,M11,,,,,,
main,1,Godless Shrine,GPT,,,,,,
main,1,Grasp of Fate,C15,,,,,,
main,1,Gravitational Shift,ROE,,,,,,
main,1,Hall of Heliod's Generosity,MH1,,,,,,
main,1,Hallowed Fountain,RTR,,,,,,
main,1,Homeward Path,C16,,,,,,
main,1,Idol of Oblivion,C19,,,,,,
main,1,Imprisoned in the Moon,EMN,,,,,,
main,1,Intangible Virtue,MM3,,,,,,
main,1,Inventors' Fair,KLD,,,,,,
main,1,Irrigated Farmland,AKH,,,,,,
main,3,Island,LRW,foil,,,,,
main,1,Isolated Chapel,ISD,,,,,,
main,1,Kindred Discovery,C17,,,,,,
main,1,Land Tax,2XM,,,,,,
maybe,1,Leyline of Anticipation,M20,,,,,,
main,1,Lightning Greaves,MRD,,,,,,
main,1,Mace of the Valiant,ELD,,,,,,
maybe,1,Magus of the Moat,,,,,,,
main,1,Mana Crypt,2XM,,,,,,
main,1,Mana Drain,CMR,,,,,,
main,1,Marsh Flats,ZEN,,,,,,
maybe,1,Metamorphic Alteration,M19,,,,,,
maybe,1,Mirage Mirror,HOU,,,,,,
main,1,Morphic Pool,BBD,,,,,,
main,1,Mox Amber,DOM,,,,,,
main,1,Mox Opal,2XM,,,,,,
main,1,Mystic Remora,ICE,,,,,,
main,1,Nihil Spellbomb,A25,,,,,,
main,1,Nimbus Maze,FUT,,,,,,
main,1,Ornithopter of Paradise,MH2,foil,,,,,
main,1,Oubliette,2XM,foil,,,,,
main,1,Paladin Class,AFR,foil,,,,,
main,1,Phyrexian Arena,CN2,,,,,,
maybe,1,Phyrexian Metamorph,NPH,,,,,,
main,2,Plains,RNA,foil,,,,,
main,1,Polluted Delta,KTK,,,,,,
main,1,Prismatic Vista,MH1,,,,,,
maybe,1,Rally the Ranks,KHM,,,,,,
main,1,Reconnaissance Mission,IKO,,,,,,
main,1,Reflecting Pool,CNS,,,,,,
main,1,Relic of Progenitus,EMA,,,,,,
main,1,Rhystic Study,PCY,,,,,,
main,1,Robe of Stars,AFC,,,,,,
main,1,Rogue Class,AFR,foil,,,,,
main,1,"Sai, Master Thopterist",M19,,,,,,
main,1,Scion of Oona,MMA,foil,,,,,
main,1,Sea of Clouds,BBD,,,,,,
main,1,Seal Away,DOM,foil,,,,,
main,1,Sensei's Divining Top,EMA,,,,,,
main,1,Silent Clearing,MH1,,,,,,
main,1,Skullclamp,C17,,,,,,
main,1,Smothering Tithe,RNA,,,,,,
main,1,Sol Ring,C14,,,,,,
main,1,Solemn Simulacrum,C21,foil,,,,,
main,1,Spellskite,2XM,foil,,,,,
main,1,Spellstutter Sprite,000,foil,,,,,
main,1,Swamp,RTR,foil,,,,,
main,1,Swiftfoot Boots,A25,,,,,,
main,1,Sword of Fire and Ice,DST,,,,,,
main,1,Talisman of Dominance,E01,,,,,,
main,1,Talisman of Progress,MRD,,,,,,
main,1,Teferi's Protection,STA,foil,,,,,
main,1,The Immortal Sun,RIX,,,,,,
main,1,Umezawa's Jitte,V16,foil,,,,,
main,1,Vault of Champions,CMR,,,,,,
maybe,1,Vault Skirge,000,foil,,,,,
main,1,Watery Grave,GTC,,,,,,
main,1,Wayfarer's Bauble,C17,,,,,,
main,1,Zur the Enchanter,CMR,foil,,,,,
