Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Academy Ruins,MMA,,,,,,
main,1,All Is Dust,MM2,,,,,,
main,1,Angel of Serenity,RTR,,,,,,
main,1,Austere Command,CMD,,,,,,
main,1,Aven Mindcensor,FUT,,,,,,
main,1,Azorius Signet,ARC,,,,,,
maybe,1,Blasting Station,5DN,,,,,,
main,1,Body Double,PLC,,,,,,
main,1,"Brago, King Eternal",EMA,,,,,,
main,1,Calciform Pools,TSP,,,,,,
main,1,Celestial Colonnade,WWK,foil,,,,,
main,1,Clever Impersonator,KTK,,,,,,
main,1,Coalition Relic,DDE,,,,,,
main,1,Command Tower,,,,,,,
main,1,Crib Swap,C15,,,,,,
side,1,Cryptic Command,MM2,,,,,,
maybe,1,Crystal Shard,MRD,,,,,,
main,1,Cyclonic Rift,C14,,,,,,
main,1,Darksteel Citadel,C14,,,,,,
main,1,Diluvian Primordial,GTC,foil,,,,,
maybe,1,Disallow,AER,,,,,,
main,1,Drift of Phantasms,RAV,,,,,,
main,1,Duplicant,CMA,foil,,,,,
side,1,Eldrazi Displacer,OGW,,,,,,
side,1,Enlightened Tutor,6ED,,,,,,
main,1,Fact or Fiction,VMA,,,,,,
main,1,Fiend Hunter,C13,,,,,,
main,1,Flicker,UDS,,,,,,
main,1,Flood Plain,VMA,,,,,,
main,1,Flooded Strand,EXP,foil,,,,,
main,1,Ghostly Flicker,AVR,foil,,,,,
main,1,Ghostway,GPT,,,,,,
main,1,Glacial Fortress,M13,,,,,,
side,1,Glaring Spotlight,GTC,,,,,,
side,1,Glen Elendra Archmage,MMA,,,,,,
main,1,Halimar Depths,WWK,,,,,,
main,1,Hallowed Fountain,RTR,,,,,,
main,1,Irrigated Farmland,,foil,,,,,
main,8,Island,UNH,,,,,,
main,1,Karmic Guide,VMA,,,,,,
side,1,Leyline of Sanctity,MM2,,,,,,
side,1,"Linvala, Keeper of Silence",ROE,,,,,,
main,1,Martial Coup,C14,,,,,,
side,1,Meekstone,7ED,,,,,,
main,1,"Minamo, School at Water's Edge",CHK,,,,,,
main,1,Mirror Entity,C13,,,,,,
main,1,Mistmeadow Witch,SHM,,,,,,
main,1,Mistveil Plains,SHM,,,,,,
main,1,Mnemonic Wall,C13,,,,,,
main,1,Momentary Blink,TSP,,,,,,
side,1,Mortarpod,MBS,,,,,,
main,1,Muddle the Mixture,RAV,,,,,,
main,1,Mulldrifter,C14,,,,,,
main,1,Mystic Confluence,C15,,,,,,
main,1,Mystic Gate,SHM,,,,,,
main,1,Nevermaker,MOR,foil,,,,,
main,1,Nim Deathmantle,SOM,,,,,,
main,1,Nimbus Maze,FUT,,,,,,
main,1,Oblivion Stone,CMD,,,,,,
main,1,Parallax Wave,VMA,,,,,,
main,1,Path to Exile,MD1,,,,,,
main,1,Phantasmal Image,M12,,,,,,
main,8,Plains,UNH,,,,,,
main,1,"Prahv, Spires of Order",DIS,,,,,,
main,1,Prairie Stream,EXP,foil,,,,,
main,1,Rasputin Dreamweaver,,,,,,,True
maybe,1,Reality Strobe,FUT,,,,,,
main,1,Restoration Angel,AVR,foil,,,,,
main,1,Return to Dust,C14,,,,,,
main,1,Reveillark,MMA,,,,,,
main,1,Rite of Replication,C14,,,,,,
maybe,1,Rout,CNS,,,,,,
main,1,Sanctum Gargoyle,MMA,,,,,,
main,1,Skullclamp,C14,,,,,,
main,1,Skycloud Expanse,ODY,,,,,,
main,1,Snapcaster Mage,ISD,,,,,,
main,1,Sol Ring,C14,,,,,,
main,1,Solemn Simulacrum,C14,,,,,,
main,1,Sphinx's Revelation,RTR,,,,,,
main,1,Stonecloaker,DDN,foil,,,,,
main,1,Stoneforge Mystic,WWK,,,,,,
main,1,Sun Titan,C14,foil,,,,,
main,1,Sunblast Angel,C14,,,,,,
main,1,Supreme Verdict,RTR,,,,,,
main,1,Swiftfoot Boots,C14,,,,,,
main,1,Swords to Plowshares,VMA,,,,,,
main,1,Tectonic Edge,C14,,,,,,
main,1,"Teferi, Mage of Zhalfir",V11,foil,,,,,
main,1,Tezzeret the Seeker,DDF,foil,,,,,
main,1,Tolaria West,FUT,,,,,,
main,1,Trickbind,TSP,,,,,,
main,1,Trinket Mage,SOM,,,,,,
maybe,1,"Ugin, the Spirit Dragon",,,,,,,
main,1,"Ulamog, the Infinite Gyre",V11,foil,,,,,
main,1,Vanish into Memory,CSP,,,,,,
main,1,Vedalken AEthermage,FUT,,,,,,
main,1,"Venser, Shaper Savant",V13,foil,,,,,
main,1,"Venser, the Sojourner",SOM,,,,,,
main,1,Voyager Staff,RAV,,,,,,
main,1,Walking Ballista,AER,,,,,,
side,1,Wash Out,C13,,,,,,
main,1,Winding Canyons,WTH,,,,,,
