Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ancient Tomb,UMA,,,,,,
main,1,Animate Dead,,foil,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Baleful Strix,EMA,,,,,,
main,1,Blasphemous Act,C14,,,,,,
main,1,Blood Crypt,RTR,foil,,,,,
main,1,Bloodstained Mire,KTK,foil,,,,,
main,1,Bojuka Bog,WWK,,,,,,
main,1,Buried Alive,WTH,,,,,,
main,1,Careful Study,,,,,,,
main,1,Cascade Bluffs,EVE,,,,,,
main,1,Cephalid Coliseum,V12,foil,,,,,
main,1,Chromatic Lantern,C16,,,,,,
main,1,Clever Impersonator,KTK,,,,,,
main,1,Coalition Relic,DDE,,,,,,
main,1,Combustible Gearhulk,KLD,foil,,,,,
main,1,Command Tower,CMD,,,,,,
main,1,Counterspell,EMA,,,,,,
main,1,Crosis's Catacombs,,foil,,,,,
main,1,Crumbling Necropolis,ALA,,,,,,
main,1,Cyclonic Rift,RTR,,,,,,
main,1,Dack Fayden,EMA,,,,,,
main,1,Damnation,SLD,,,,,,
maybe,1,Damnation,,,,,,,
main,1,Dance of the Dead,ICE,,,,,,
main,1,Deadeye Navigator,AVR,foil,,,,,
main,1,Demonic Tutor,3ED,,,,,,
main,1,Dimir Signet,RAV,,,,,,
main,1,Dockside Extortionist,,,,,,,
main,1,Doom Whisperer,,foil,,,,,
main,1,Dragonskull Summit,M13,foil,,,,,
main,1,Dread Return,TSP,,,,,,
main,1,Dream Eater,,foil,,,,,
main,1,Drowned Catacomb,M12,foil,,,,,
main,1,Entomb,UMA,,,,,,
main,1,Exhume,USG,,,,,,
main,1,Fact or Fiction,EMA,foil,,,,,
main,1,Faithless Looting,DKA,,,,,,
main,1,Flayer of the Hatebound,DKA,foil,,,,,
main,1,Frantic Search,ULG,,,,,,
main,1,Gilded Lotus,,,,,,,
main,1,Grave Titan,000,foil,,,,,
main,1,Graven Cairns,FUT,,,,,,
main,1,Gray Merchant of Asphodel,THS,,,,,,
main,3,Island,ALA,,,,,,
main,1,It That Betrays,ROE,,,,,,
main,1,Izzet Charm,RTR,foil,,,,,
main,1,Izzet Signet,GPT,,,,,,
main,1,"Kiki-Jiki, Mirror Breaker",MMA,,,,,,
main,1,Liliana Vess,DDD,foil,,,,,
main,1,Living Death,A25,foil,,,,,
main,1,Mana Crypt,MYS1,,,,,,
main,1,Mana Vault,3ED,,,,,,
main,1,Massacre Wurm,MBS,,,,,,
main,1,"Mikaeus, the Unhallowed",DKA,,,,,,
main,2,Mountain,ALA,,,,,,
main,1,Mulldrifter,CMD,,,,,,
main,1,Necromancy,VIS,,,,,,
main,1,Noxious Gearhulk,KLD,,,,,,
main,1,Panharmonicon,,,,,,,
main,1,Phyrexian Metamorph,NPH,,,,,,
main,1,Plaguecrafter,GRN,,,,,,
main,1,Polluted Delta,KTK,,,,,,
main,1,Rakdos Signet,DIS,,,,,,
main,1,"Razaketh, the Foulblooded",,,,,,,
main,1,Reanimate,UMA,,,,,,
main,1,Rhystic Study,PCY,,,,,,
main,1,Rune-Scarred Demon,M12,,,,,,
main,1,Scalding Tarn,ZEN,,,,,,
main,1,"Sedris, the Traitor King",,,,,,,True
main,1,"Sheoldred, Whispering One",000,foil,,,,,
main,1,Shivan Reef,ORI,,,,,,
main,1,"Sidisi, Undead Vizier",,pre,,,,,
main,1,Snapcaster Mage,ISD,,,,,,
main,1,Sneak Attack,EMA,,,,,,
main,1,Sol Ring,C13,,,,,,
main,1,Solemn Simulacrum,MRD,,,,,,
main,1,Steam Vents,RTR,foil,,,,,
main,1,Sulfur Falls,ISD,,,,,,
main,1,Sulfurous Springs,10E,foil,,,,,
main,1,Sunken Ruins,SHM,,,,,,
main,4,Swamp,ALA,,,,,,
main,1,Temple of Deceit,THS,,,,,,
main,1,Temple of Epiphany,JOU,foil,,,,,
main,1,Temple of Malice,BNG,foil,,,,,
main,1,Terminate,ARB,,,,,,
maybe,1,Terror of the Peaks,,,,,,,
main,1,Toxic Deluge,,foil,,,,,
main,1,Underground River,C16,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",,,,,,,
main,1,Vampiric Tutor,CMR,,,,,,
main,1,Victimize,USG,,,,,,
main,1,Viscera Seer,MYSTOR,foil,,,,,
main,1,Watery Grave,GTC,foil,,,,,
main,1,Worldgorger Dragon,JUD,,,,,,
main,1,Zealous Conscripts,AVR,foil,,,,,
