Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Attrition,,,,,,,
main,1,"Ayara, First of Locthwain",,,,,,,
maybe,1,Basilisk Collar,,,,,,,
main,1,Bitterblossom,,,,,,,
main,1,Black Market,,,,,,,
main,1,Blood Artist,,,,,,,
main,1,Bloodghast,,,,,,,
main,1,Bojuka Bog,,,,,,,
main,1,Burnished Hart,,,,,,,
main,1,Cabal Coffers,,,,,,,
main,1,Cabal Stronghold,,,,,,,
main,1,Crypt Ghast,,,,,,,
main,1,Curtains' Call,,,,,,,
main,1,Damnation,,,,,,,
main,1,Deadly Tempest,,,,,,,
main,1,Decree of Pain,,,,,,,
main,1,Defile,,,,,,,
main,1,Demonic Tutor,,,,,,,
main,1,Diabolic Intent,,,,,,,
main,1,Dictate of Erebos,,,,,,,
main,1,Dread Presence,,,,,,,
main,1,Dreadhorde Invasion,,,,,,,
main,1,Endless Cockroaches,,,,,,,
main,1,"Erebos, Bleak-Hearted",,,,,,,True
main,1,Expedition Map,,,,,,,
main,1,Exsanguinate,,,,,,,
main,1,Feed the Swarm,,,,,,,
main,1,Final Parting,,,,,,,
main,1,Fleshbag Marauder,,,,,,,
main,1,Font of Agonies,,,,,,,
main,1,Force of Despair,,,,,,,
main,1,Grave Pact,,,,,,,
main,1,Heartless Act,,,,,,,
main,1,Jet Medallion,,,,,,,
main,1,Lashwrithe,,,,,,,
maybe,1,Liliana of the Dark Realms,,,,,,,
main,1,"Liliana, Dreadhorde General",,,,,,,
main,1,Loxodon Warhammer,,,,,,,
main,1,Malicious Affliction,,,,,,,
main,1,Massacre Wurm,,,,,,,
main,1,Merciless Executioner,,,,,,,
main,1,Mutilate,,,,,,,
main,1,Myriad Landscape,,,,,,,
main,1,Nether Traitor,,,,,,,
main,1,"Nykthos, Shrine to Nyx",,,,,,,
main,1,Ophiomancer,,,,,,,
main,1,Pawn of Ulamog,,,,,,,
main,1,Phyrexian Arena,,,,,,,
main,1,Pitiless Plunderer,,,,,,,
main,1,Plaguecrafter,,,,,,,
main,1,Promise of Power,,,,,,,
main,1,Read the Bones,,,,,,,
main,1,Reassembling Skeleton,,,,,,,
main,1,Rogue's Passage,,,,,,,
main,1,Sangromancer,,,,,,,
main,1,Scavenger Grounds,,,,,,,
main,1,Shadowspear,,,,,,,
main,1,"Shizo, Death's Storehouse",,,,,,,
main,1,Skullclamp,,,,,,,
main,1,Smothering Abomination,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Solemn Simulacrum,,,,,,,
main,1,Strata Scythe,,,,,,,
main,26,Swamp,,,,,,,
main,1,Sword of the Animist,,,,,,,
main,1,Temple of the False God,,,,,,,
main,1,"Tevesh Szat, Doom of Fools",,,,,,,
main,1,Toxic Deluge,,,,,,,
main,1,"Urborg, Tomb of Yawgmoth",,,,,,,
main,1,Vampiric Rites,,,,,,,
main,1,Village Rites,,,,,,,
main,1,Vona's Hunger,,,,,,,
main,1,Wayfarer's Bauble,,,,,,,
main,1,Whip of Erebos,,,,,,,
main,1,Wretched Confluence,,,,,,,
main,1,"Yahenni, Undying Partisan",,,,,,,
main,1,Zulaport Cutthroat,,,,,,,
