Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
maybe,1,Aggravated Assault,ONS,,,,,,
maybe,1,Ancestral Mask,,,,,,,
main,1,Ancient Tomb,UMA,,,,,,
maybe,1,Angelic Destiny,,,,,,,
main,1,Arcane Signet,CMR,foil,,,,,
main,1,Argothian Enchantress,,,,,,,
main,1,Arid Mesa,ZEN,,,,,,
main,1,Armadillo Cloak,000,foil,,,,,
maybe,1,Armageddon,A25,,,,,,
maybe,1,Asha's Favor,CON,foil,,,,,
maybe,1,Avacyn's Pilgrim,000,foil,,,,,
maybe,1,Banishing Light,000,foil,,,,,
maybe,1,Bastion Protector,,,,,,,
main,1,Battle Mastery,LRW,foil,,,,,
maybe,1,Battlefield Forge,ORI,foil,,,,,
maybe,1,Bear Umbra,ROE,,,,,,
main,1,Beast Within,NPH,,,,,,
maybe,1,Bestial Fury,ALL,,,,,,
main,1,Birds of Paradise,000,foil,,,,,
main,1,Blessing of the Nephilim,,foil,,,,,
main,1,Bloodstained Mire,,,,,,,
maybe,1,Boar Umbra,,,,,,,
main,1,Boros Charm,A25,foil,,,,,
maybe,1,Boros Signet,MM3,foil,,,,,
main,1,Bountiful Promenade,BBD,,,,,,
maybe,1,"Calix, Destiny's Hand",,,,,,,
maybe,1,Canopy Vista,,foil,,,,,
main,1,Cavern of Souls,,,,,,,
maybe,1,Chaos Warp,,,,,,,
maybe,1,Chromatic Lantern,GRN,foil,,,,,
maybe,1,Chrome Mox,MRD,,,,,,
maybe,1,Cinder Glade,,foil,,,,,
main,1,City of Solitude,VIS,,,,,,
main,1,Clifftop Retreat,DOM,foil,,,,,
main,1,Command Beacon,CMR,foil,,,,,
main,1,Command Tower,CMR,foil,,,,,
maybe,1,Consulate Crackdown,,,,,,,
maybe,1,Contested Cliffs,,,,,,,
maybe,1,Courser of Kruphix,,,,,,,
main,1,Crop Rotation,2XM,foil,,,,,
main,1,Cultivate,000,foil,,,,,
maybe,1,Day of Judgment,PSG,foil,,,,,
maybe,1,Daybreak Coronet,,,,,,,
main,1,Destiny Spinner,,foil,,,,,
maybe,1,Divine Reckoning,,,,,,,
maybe,1,Dragonlord Dromoka,,,,,,,
maybe,1,Druid of the Anima,,,,,,,
maybe,1,Dueling Grounds,,,,,,,
main,1,Eidolon of Blossoms,000,foil,,,,,
maybe,1,Elvish Mystic,000,foil,,,,,
maybe,1,Enchantress's Presence,MH2,,,,,,
main,1,Enlightened Tutor,MIR,,,,,,
maybe,1,Eternal Witness,UMA,foil,,,,,
maybe,1,Ethereal Armor,,,,,,,
maybe,1,Evolving Wilds,IMA,foil,,,,,
main,1,Farseek,000,foil,,,,,
main,1,Felidar Umbra,,,,,,,
main,1,Fire-Lit Thicket,,,,,,,
maybe,1,Flickerform,,,,,,,
main,1,Flooded Strand,,,,,,,
main,3,Forest,KTK,foil,,,,,
maybe,1,Fortified Village,,,,,,,
maybe,1,Gaea's Embrace,,,,,,,
maybe,1,Game Trail,,,,,,,
maybe,1,Gift of Immortality,,foil,,,,,
main,1,Grand Abolisher,,,,,,,
main,1,Grasp of Fate,C15,,,,,,
maybe,1,Greater Auramancy,SHM,,,,,,
maybe,1,Gruul Signet,MM3,foil,,,,,
main,1,Gryff's Boon,SOI,foil,,,,,
main,1,Hall of Heliod's Generosity,,,,,,,
main,1,Harrow,ZEN,foil,,,,,
main,1,Heliod's Pilgrim,M15,foil,,,,,
maybe,1,Hero of Iroas,,,,,,,
maybe,1,Holy Mantle,GTC,foil,,,,,
main,1,Hyena Umbra,UMA,foil,,,,,
main,1,Idyllic Tutor,THB,foil,,,,,
maybe,1,Inspiring Vantage,,,,,,,
maybe,1,Joraga Treespeaker,,,,,,,
maybe,1,Karplusan Forest,,,,,,,
maybe,1,Kessig Wolf Run,,,,,,,
maybe,1,Knight of the Reliquary,DDG,foil,,,,,
main,1,Kodama's Reach,CHK,foil,,,,,
maybe,1,Kor Spiritdancer,,foil,,,,,
maybe,1,Land Tax,,,,,,,
maybe,1,Llanowar Elves,DOM,foil,,,,,
maybe,1,Madcap Skills,,,,,,,
main,1,Mantle of the Ancients,AFC,,,,,,
main,1,Mesa Enchantress,,foil,,,,,
main,1,Messenger's Speed,THS,foil,,,,,
maybe,1,Mirri's Guile,,,,,,,
main,3,Mountain,KTK,foil,,,,,
main,1,Nature's Lore,DDD,,,,,,
maybe,1,Oblation,CMD,,,,,,
main,1,Oblivion Ring,000,foil,,,,,
main,1,On Serra's Wings,DOM,foil,,,,,
main,1,Open the Armory,SOI,foil,,,,,
maybe,1,Oracle of Mul Daya,,,,,,,
main,1,Overgrown Farmland,MID,foil,,,,,
maybe,1,Path to Exile,FNM,foil,,,,,
main,3,Plains,KTK,foil,,,,,
main,1,Plateau,3ED,,,,,,
maybe,1,Predatory Hunger,,,,,,,
maybe,1,Privileged Position,RAV,,,,,,
maybe,1,Rampant Growth,M12,foil,,,,,
main,1,Rancor,EMA,foil,,,,,
main,1,Replenish,,,,,,,
maybe,1,Retether,,foil,,,,,
maybe,1,Rhythm of the Wild,,,,,,,
main,1,Rockfall Vale,MID,,,,,,
maybe,1,Rootbound Crag,M10,foil,,,,,
main,1,Rugged Prairie,A25,,,,,,
main,1,Rune of Might,KHM,foil,,,,,
main,1,Runes of the Deus,,foil,,,,,
maybe,1,Rush of Blood,AVR,foil,,,,,
main,1,Sacred Foundry,GRN,,,,,,
maybe,1,Sage's Reverie,,,,,,,
