Board,Qty,Name,Printing,Foil,Alter,Signed,Condition,Language,Commander
main,1,Ankh of Mishra,3ED,,,,,,
main,1,Arcane Signet,,,,,,,
main,1,Ashling's Prerogative,,,,,,,
main,1,Basilisk Collar,,,,,,,
main,1,Battlemage's Bracers,C21,,,,,,
main,1,Bitter Feud,,,,,,,
main,1,Blood Moon,,,,,,,
main,1,Burning Earth,,,,,,,
main,1,By Force,,,,,,,
main,1,"Chandra, Fire Artisan",,,,,,,
main,1,"Chandra, Pyromaster",,,,,,,
main,1,Chaos Warp,C20,,,,,,
main,1,Crashing Drawbridge,ELD,,,,,,
main,1,Cryptolith Fragment,EMN,,,,,,
main,1,Cursed Mirror,C21,,,,,,
main,1,Dark Sphere,,,,,,,
main,1,Desert,,,,,,,
main,1,Dictate of the Twin Gods,,,,,,,
main,1,Elixir of Immortality,,,,,,,
main,1,Ember Hauler,,,,,,,
main,1,Final Fortune,,,,,,,
main,1,Fire Diamond,,,,,,,
main,1,Forgotten Cave,,,,,,,
main,1,Fortune Thief,,,,,,,
main,1,Frostling,BOK,,,,,,
main,1,Generator Servant,,,,,,,
main,1,Glacial Chasm,,,,,,,
main,1,Goblin Fireslinger,,,,,,,
main,1,Gratuitous Violence,,,,,,,
main,1,Hammer of Purphoros,,,,,,,
main,1,Heartless Hidetsugu,,,,,,,True
main,1,Illusionist's Bracers,,,,,,,
main,1,Impulsive Pilferer,,,,,,,
main,1,Irencrag Feat,,,,,,,
main,1,Iron Myr,,,,,,,
main,1,Lightning Bolt,,,,,,,
main,1,Lightning Greaves,,,,,,,
main,1,Lightning Mauler,,,,,,,
main,1,Loxodon Warhammer,,,,,,,
main,1,Magus of the Moon,,,,,,,
main,1,Mana Geyser,,,,,,,
main,1,Manabarbs,,,,,,,
main,1,Maze of Ith,DRK,,,,,,
main,1,Mind Stone,,,,,,,
main,1,Mizzium Mortars,,,,,,,
main,1,Mogg Fanatic,TMP,,,,,,
main,30,Mountain,DD3,,,,,,
main,1,Overblaze,,,,,,,
main,1,Pristine Talisman,,,,,,,
main,1,Pyrohemia,,,,,,,
main,1,Quest for Pure Flame,,,,,,,
main,1,Ramunap Ruins,,,,,,,
main,1,Rolling Thunder,,,,,,,
main,1,Shadowspear,,,,,,,
main,1,Sizzle,,,,,,,
main,1,Smelt,,,,,,,
main,1,Sol Ring,,,,,,,
main,1,Spinerock Knoll,,,,,,,
main,1,Staff of Nin,,,,,,,
main,1,Sunscorched Desert,,,,,,,
main,1,Swiftfoot Boots,,,,,,,
main,1,"Torbran, Thane of Red Fell",,,,,,,
main,1,Treasonous Ogre,,,,,,,
main,1,Tunneling Geopede,,,,,,,
main,1,Valakut Exploration,ZNR,,,,,,
main,1,Vance's Blasting Cannons,,,,,,,
main,1,Volcanic Offering,,,,,,,
main,1,Vulshok Sorcerer,,,,,,,
main,1,War Elemental,MRD,,,,,,
main,1,Witch's Clinic,C21,,,,,,
main,1,Zo-Zu the Punisher,,,,,,,
